iter	Logloss
0	0.6739557758
1	0.65464826
2	0.6379923313
3	0.6233622086
4	0.6101094021
5	0.5960729427
6	0.5847559787
7	0.5731465204
8	0.5619050375
9	0.5518839542
10	0.5419637704
11	0.5327909191
12	0.5251844195
13	0.5159198196
14	0.5084601942
15	0.5017412074
16	0.4950386554
17	0.4891170743
18	0.4825626392
19	0.4775123945
20	0.4728677918
21	0.468483536
22	0.4635979254
23	0.4587132073
24	0.4554560156
25	0.4510716763
26	0.4480288698
27	0.4452301433
28	0.4424508357
29	0.4390573996
30	0.4364283403
31	0.4336098141
32	0.431808867
33	0.4295940684
34	0.4273200372
35	0.4250996407
36	0.4231906599
37	0.4207674415
38	0.4189213069
39	0.4174257475
40	0.4158772435
41	0.4140501958
42	0.4126064332
43	0.4114548393
44	0.4093956792
45	0.4085515696
46	0.407110707
47	0.4053418936
48	0.4038569638
49	0.4015839387
50	0.4003733669
51	0.3990705906
52	0.3982535771
53	0.3968264114
54	0.396221207
55	0.3949104683
56	0.3939127577
57	0.3930733049
58	0.3921141944
59	0.3912833175
60	0.3904118594
61	0.3894625213
62	0.3886403144
63	0.388131909
64	0.387269462
65	0.3866075341
66	0.3858596395
67	0.3852040901
68	0.3843699038
69	0.3839412623
70	0.3833560547
71	0.3829660288
72	0.3824173493
73	0.3817718125
74	0.3809401951
75	0.3803689721
76	0.3796976261
77	0.3791939695
78	0.378708937
79	0.3781607155
80	0.3775363342
81	0.3767363292
82	0.376223707
83	0.3757469731
84	0.3751495976
85	0.3747270007
86	0.374319481
87	0.374055683
88	0.3735355415
89	0.3730968424
90	0.3725687413
91	0.3720966791
92	0.3717516928
93	0.3713073929
94	0.371018457
95	0.3706491112
96	0.37039798
97	0.3699886624
98	0.3697114076
99	0.3695433153
100	0.3692458251
101	0.3689002342
102	0.3683420836
103	0.3680623349
104	0.3676768802
105	0.3674686299
106	0.3672132738
107	0.3668849084
108	0.3665502739
109	0.3662025627
110	0.3658689968
111	0.365419284
112	0.3650372603
113	0.3647567464
114	0.3645244342
115	0.3642917312
116	0.3639834276
117	0.3636845526
118	0.3634415808
119	0.3631651983
120	0.3628899283
121	0.3626321412
122	0.3623556061
123	0.3621248798
124	0.3618649211
125	0.3616518288
126	0.3615087895
127	0.3612476046
128	0.3610042336
129	0.3608410065
130	0.3607368468
131	0.3605437453
132	0.3603135946
133	0.3601230871
134	0.3599675949
135	0.3597690781
136	0.3595800457
137	0.3592033336
138	0.3590639016
139	0.3589365774
140	0.3588087263
141	0.3585924235
142	0.3584206095
143	0.3582819104
144	0.3580075997
145	0.3576812773
146	0.3574992621
147	0.3572802244
148	0.357067883
149	0.3569065766
150	0.3568066961
151	0.3566507231
152	0.3565214749
153	0.35638547
154	0.3561024323
155	0.3558820073
156	0.3557918657
157	0.3556627433
158	0.3554631716
159	0.3553415822
160	0.3551273115
161	0.3549179234
162	0.3547335215
163	0.3545807573
164	0.3544194296
165	0.3542669211
166	0.3540266372
167	0.353865684
168	0.3537311044
169	0.3535302367
170	0.3534445938
171	0.3533365626
172	0.3531980089
173	0.3530901474
174	0.3529291828
175	0.3527136793
176	0.3525695121
177	0.3524947198
178	0.3523479003
179	0.3522388004
180	0.3520869725
181	0.3519994779
182	0.3518456445
183	0.3517189653
184	0.3515987598
185	0.3514996773
186	0.3514033152
187	0.3512795477
188	0.3511481407
189	0.3510492508
190	0.350889786
191	0.3507660037
192	0.3506505796
193	0.3505463566
194	0.3504239975
195	0.3502786727
196	0.3501583179
197	0.3500818842
198	0.3499984484
199	0.3497760841
200	0.3495949083
201	0.3494913484
202	0.3493914181
203	0.3493126904
204	0.349201154
205	0.3490833955
206	0.3489413237
207	0.3488181355
208	0.3486623113
209	0.3485658493
210	0.3484532285
211	0.3483382787
212	0.3481492046
213	0.3480728738
214	0.3479645693
215	0.3478328295
216	0.3477568116
217	0.3476282496
218	0.3475521663
219	0.3473949192
220	0.3472929951
221	0.3472100086
222	0.3470852605
223	0.3469522495
224	0.3468381574
225	0.3467000052
226	0.3465722949
227	0.3464880128
228	0.3463942596
229	0.3462935227
230	0.3461871051
231	0.3461007226
232	0.3459322978
233	0.3457864316
234	0.3457185489
235	0.3455779174
236	0.3454823024
237	0.3454098924
238	0.3453315127
239	0.3452383486
240	0.3451488404
241	0.3449988351
242	0.3448756358
243	0.3448480451
244	0.3447207878
245	0.3446150459
246	0.3445002937
247	0.3444146336
248	0.3443039269
249	0.34422505
250	0.344134103
251	0.3440670178
252	0.3439922051
253	0.3438974043
254	0.3437835807
255	0.3436392021
256	0.3435560348
257	0.3434918911
258	0.3433997074
259	0.3433197265
260	0.3432156588
261	0.3430964459
262	0.343000775
263	0.3428949429
264	0.3427963795
265	0.3427203374
266	0.3426094378
267	0.3425231735
268	0.3424112569
269	0.3423544139
270	0.3422773208
271	0.3422167586
272	0.3421471627
273	0.3420315195
274	0.3419509526
275	0.3418387402
276	0.3414221608
277	0.341351907
278	0.3412694652
279	0.3411754108
280	0.3410929091
281	0.3409771879
282	0.3409068634
283	0.3408288916
284	0.3407608223
285	0.3406826113
286	0.3405901203
287	0.3405121781
288	0.3404266506
289	0.3403242492
290	0.3402218136
291	0.3401592831
292	0.3400794577
293	0.3400130328
294	0.3398816264
295	0.3397867713
296	0.3396771838
297	0.3395877347
298	0.3395145932
299	0.3394344737
300	0.3393498521
301	0.339250109
302	0.3391566129
303	0.339074461
304	0.339006204
305	0.3388953697
306	0.3387619863
307	0.338668885
308	0.3385011899
309	0.3384131703
310	0.3383134029
311	0.3382640917
312	0.3381570262
313	0.3380903431
314	0.338005763
315	0.3378685408
316	0.3377284242
317	0.3376490494
318	0.3375848774
319	0.3374626782
320	0.3374019657
321	0.337313691
322	0.3371872885
323	0.3370808989
324	0.3370038227
325	0.3368586324
326	0.3368110486
327	0.3366804625
328	0.3365821916
329	0.3365065625
330	0.336430778
331	0.3363494299
332	0.3362864143
333	0.33624134
334	0.3361718582
335	0.3360688804
336	0.3360186787
337	0.3359346899
338	0.3357026721
