iter	Passed	Remaining
0	149	74549
1	328	81842
2	468	77685
3	580	71988
4	710	70367
5	843	69427
6	966	68065
7	1095	67364
8	1236	67437
9	1358	66564
10	1483	65933
11	1614	65668
12	1772	66409
13	1892	65695
14	2021	65347
15	2146	64933
16	2284	64914
17	2424	64922
18	2553	64634
19	2690	64561
20	2829	64533
21	2949	64094
22	3066	63598
23	3215	63772
24	3353	63713
25	3515	64085
26	3663	64176
27	3810	64229
28	3947	64109
29	4084	63984
30	4220	63855
31	4349	63611
32	4473	63308
33	4616	63279
34	4747	63078
35	4871	62784
36	5004	62627
37	5126	62327
38	5235	61887
39	5339	61401
40	5473	61271
41	5592	60980
42	5725	60853
43	5862	60752
44	5994	60609
45	6124	60442
46	6243	60178
47	6365	59946
48	6492	59755
49	6615	59541
50	6757	59488
51	6888	59347
52	7024	59243
53	7162	59160
54	7285	58947
55	7441	58997
56	7556	58731
57	7677	58507
58	7814	58412
59	7945	58270
60	8068	58065
61	8199	57927
62	8340	57854
63	8478	57762
64	8613	57643
65	8739	57471
66	8877	57372
67	8998	57169
68	9137	57074
69	9273	56965
70	9582	57896
71	10035	59653
72	10153	59393
73	10282	59193
74	10409	58987
75	10536	58781
76	10676	58653
77	10802	58445
78	10922	58207
79	11040	57963
80	11157	57713
81	11285	57526
82	11418	57365
83	11555	57227
84	11685	57054
85	11813	56867
86	11936	56663
87	12053	56430
88	12164	56173
89	12292	56000
90	12423	55837
91	12537	55603
92	12654	55379
93	12790	55243
94	12911	55042
95	13052	54928
96	13187	54788
97	13316	54626
98	13440	54439
99	13563	54252
100	13701	54128
101	13822	53936
102	13951	53774
103	14063	53551
104	14205	53439
105	14323	53241
106	14413	52938
107	14506	52652
108	14601	52376
109	14701	52122
110	14794	51846
111	14884	51564
112	14969	51266
113	15061	50996
114	15149	50717
115	15242	50456
116	15330	50185
117	15421	49924
118	15508	49653
119	15595	49384
120	15683	49124
121	15781	48896
122	15866	48632
123	15959	48393
124	16050	48151
125	16151	47940
126	16240	47699
127	16331	47463
128	16420	47226
129	16505	46976
130	16600	46761
131	16688	46526
132	16776	46294
133	16864	46064
134	16956	45845
135	17053	45642
136	17144	45426
137	17235	45210
138	17321	44985
139	17420	44794
140	17506	44573
141	17598	44366
142	17690	44165
143	17777	43948
144	17875	43764
145	17964	43558
146	18055	43358
147	18160	43191
148	18261	43018
149	18356	42832
150	18445	42631
151	18531	42426
152	18626	42243
153	18780	42195
154	18877	42018
155	18963	41817
156	19058	41637
157	19147	41446
158	19239	41261
159	19332	41080
160	19457	40970
161	19572	40835
162	19665	40657
163	19758	40480
164	19854	40310
165	19949	40140
166	20045	39971
167	20142	39805
168	20254	39670
169	20367	39537
170	20472	39388
171	20565	39217
172	20677	39083
173	20782	38937
174	20887	38791
175	20986	38634
176	21077	38463
177	21195	38341
178	21299	38195
179	21408	38060
180	21509	37909
181	21608	37754
182	21696	37582
183	21787	37417
184	21880	37255
185	21973	37095
186	22067	36936
187	22156	36770
188	22251	36614
189	22339	36449
190	22431	36290
191	22524	36132
192	22615	35973
193	22722	35841
194	22813	35682
195	22946	35589
196	23059	35467
197	23148	35307
198	23243	35156
199	23336	35004
200	23427	34850
201	23527	34708
202	23622	34560
203	23714	34409
204	23811	34264
205	23907	34120
206	24003	33976
207	24090	33819
208	24186	33676
209	24278	33526
210	24365	33372
211	24458	33226
212	24563	33097
213	24672	32973
214	24776	32843
215	24879	32711
216	24989	32590
217	25087	32452
218	25180	32309
219	25273	32166
220	25375	32035
221	25508	31943
222	25644	31854
223	25785	31770
224	25904	31660
225	26013	31537
226	26107	31398
227	26223	31283
228	26342	31174
229	26438	31036
230	26530	30894
231	26624	30755
232	26716	30615
233	26800	30466
234	26964	30406
235	27115	30332
236	27250	30239
237	27399	30162
238	27539	30074
239	27675	29981
240	27793	29869
241	27924	29771
242	28049	29665
243	28185	29571
244	28329	29485
245	28464	29390
246	28592	29287
247	28718	29182
248	28850	29082
249	28979	28979
250	29101	28869
251	29246	28782
252	29382	28685
253	29515	28586
254	29640	28478
255	29767	28372
256	29919	28289
257	30065	28200
258	30206	28107
259	30327	27994
260	30452	27885
261	30599	27796
262	30741	27702
263	30884	27609
264	31017	27506
265	31147	27400
266	31287	27303
267	31423	27202
268	31554	27096
269	31694	26998
270	31827	26894
271	31950	26781
272	32088	26681
273	32224	26579
274	32362	26478
275	32487	26366
276	32624	26264
277	32751	26153
278	32889	26052
279	33022	25946
280	33152	25837
281	33290	25735
282	33422	25628
283	33572	25534
284	33706	25427
285	33834	25316
286	33966	25208
287	34091	25095
288	34231	24992
289	34369	24888
290	34502	24780
291	34636	24672
292	34775	24568
293	34905	24457
294	35039	24349
295	35164	24235
296	35308	24133
297	35448	24028
298	35581	23919
299	35712	23808
300	35852	23703
301	35987	23594
302	36132	23492
303	36272	23386
304	36422	23286
305	36539	23165
306	36664	23049
307	36795	22937
308	36918	22820
309	37067	22718
310	37206	22610
311	37342	22501
312	37483	22394
313	37635	22293
314	37767	22180
315	37904	22070
316	38058	21970
317	38189	21856
318	38327	21746
319	38464	21636
320	38610	21530
321	38753	21422
322	38885	21308
323	39020	21196
324	39162	21087
325	39312	20982
326	39451	20871
327	39585	20758
328	39726	20647
329	39851	20529
330	39974	20409
331	40105	20294
332	40251	20186
333	40375	20066
334	40495	19945
335	40627	19829
336	40755	19712
337	40891	19598
338	41025	19484
339	41161	19370
340	41297	19256
341	41432	19141
342	41573	19029
343	41716	18918
344	41853	18803
345	41985	18687
346	42115	18569
347	42249	18453
348	42390	18340
349	42520	18223
350	42654	18106
351	42786	17989
352	42921	17873
353	43051	17755
354	43185	17639
355	43316	17521
356	43458	17407
357	43590	17289
358	43734	17177
359	43872	17061
360	44008	16945
361	44139	16826
362	44275	16710
363	44411	16593
364	44555	16479
365	44697	16364
366	44826	16245
367	44952	16124
368	45089	16007
369	45204	15882
370	45328	15761
371	45459	15641
372	45587	15521
373	45739	15409
374	45873	15291
375	46004	15171
376	46128	15049
377	46243	14925
378	46377	14806
379	46512	14688
380	46650	14570
381	46782	14451
382	46923	14334
383	47060	14216
384	47191	14096
385	47316	13974
386	47441	13852
387	47568	13731
388	47696	13609
389	47824	13488
390	47950	13367
391	48078	13246
392	48200	13123
393	48319	12999
394	48446	12878
395	48583	12759
396	48709	12637
397	48835	12515
398	48973	12396
399	49121	12280
400	49258	12161
401	49387	12039
402	49517	11918
403	49642	11796
404	49792	11679
405	49915	11556
406	50036	11433
407	50154	11309
408	50283	11187
409	50403	11064
410	50777	10995
411	51281	10953
412	51419	10831
413	51541	10706
414	51660	10581
415	51783	10456
416	51913	10332
417	52046	10210
418	52176	10086
419	52304	9962
420	52446	9841
421	52590	9720
422	52733	9599
423	52861	9475
424	52990	9351
425	53122	9227
426	53255	9104
427	53383	8980
428	53512	8856
429	53649	8733
430	53785	8610
431	53996	8499
432	54135	8376
433	54271	8253
